Transaction_ID,Date,GL_Code,Account,Description,DEBIT,CREDIT
creditcard-1-67,2023-01-23,601008,Misc - Online Store,COMPUTER SOFTWARE STORES: ARKANSASLIVESCAN.COM FORT SMIT,20.0,
creditcard-1-68,2023-01-23,200101,EdwardJones MasterCard,COMPUTER SOFTWARE STORES: ARKANSASLIVESCAN.COM FORT SMIT,,20.0
creditcard-1-69,2023-01-23,600501,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: CHICK-FIL-A #03901 ROGERS,14.78,
creditcard-1-70,2023-01-23,200101,EdwardJones MasterCard,FAST FOOD RESTAURANTS: CHICK-FIL-A #03901 ROGERS,,14.78
creditcard-1-71,2023-01-23,600501,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: CHICK-FIL-A #03901 ROGERS,15.48,
creditcard-1-72,2023-01-23,200101,EdwardJones MasterCard,FAST FOOD RESTAURANTS: CHICK-FIL-A #03901 ROGERS,,15.48
creditcard-1-73,2023-01-23,600501,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: PANDA EXPRESS #2171 P 800877898,12.15,
creditcard-1-74,2023-01-23,200101,EdwardJones MasterCard,FAST FOOD RESTAURANTS: PANDA EXPRESS #2171 P 800877898,,12.15
creditcard-1-75,2023-01-23,600501,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: TACOS 4 LIFE 007 ONLIN 479-225-9,12.24,
creditcard-1-76,2023-01-23,200101,EdwardJones MasterCard,FAST FOOD RESTAURANTS: TACOS 4 LIFE 007 ONLIN 479-225-9,,12.24
creditcard-1-77,2023-01-23,600503,Grocery,GROCERY STORES OR SUPERMARKETS: WAL-MART #5837 ROGERS,74.48,
creditcard-1-78,2023-01-23,200101,EdwardJones MasterCard,GROCERY STORES OR SUPERMARKETS: WAL-MART #5837 ROGERS,,74.48
creditcard-1-79,2023-01-23,600501,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: WHATABURGER 1089 ROGERS,11.37,
creditcard-1-80,2023-01-23,200101,EdwardJones MasterCard,FAST FOOD RESTAURANTS: WHATABURGER 1089 ROGERS,,11.37
creditcard-1-81,2023-01-24,600501,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: AMK WALMART J STREET 831-20198,10.81,
creditcard-1-82,2023-01-24,200101,EdwardJones MasterCard,FAST FOOD RESTAURANTS: AMK WALMART J STREET 831-20198,,10.81
creditcard-1-83,2023-01-24,600501,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: AMK WALMART J STREET BENTONVIL,1.92,
