Transaction_ID,Date,GL_Code,Account,Description,DEBIT,CREDIT
cc-2-113,2023-02-02,200101,EdwardJones MasterCard,GROCERY STORES OR SUPERMARKETS: WAL-MART #5837 ROGERS,,26.34
cc-2-114,2023-02-02,100101,Free Checking Bank OZK,PAYMENT THANK YOU: PAYMENT THANK YOU,,1934.06
cc-2-115,2023-02-02,200101,EdwardJones MasterCard,PAYMENT THANK YOU: PAYMENT THANK YOU,1934.06,
cc-2-116,2023-02-02,600503,Grocery,GROCERY STORES OR SUPERMARKETS: WAL-MART #5837 ROGERS,26.34,
cc-2-117,2023-02-03,200101,EdwardJones MasterCard,FAST FOOD RESTAURANTS: CHICK-FIL-A #03901 ROGERS,,14.94
cc-2-118,2023-02-03,600501,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: CHICK-FIL-A #03901 ROGERS,14.94,
cc-2-119,2023-02-03,600602,Hobbies - Jiu Jitsu,SCHOOLS AND EDUCATIONAL SERVICES (NEC): ALLIANCE JIU JITSU OF 479402491,131.7,
cc-2-120,2023-02-03,200101,EdwardJones MasterCard,SCHOOLS AND EDUCATIONAL SERVICES (NEC): ALLIANCE JIU JITSU OF 479402491,,131.7
cc-2-121,2023-02-06,200101,EdwardJones MasterCard,"ELECTRIC, GAS, SANITARY, TELEPHONE OR WATER UTILITIES: MDC*CARROLL ECC AR BERRYVILL",,95.98
cc-2-122,2023-02-06,200101,EdwardJones MasterCard,FAST FOOD RESTAURANTS: AMK WALMART J STREET 831-20198,,5.79
cc-2-123,2023-02-06,200101,EdwardJones MasterCard,FAST FOOD RESTAURANTS: CHIPOTLE ONLINE 949524400,,22.85
cc-2-124,2023-02-06,200101,EdwardJones MasterCard,FAST FOOD RESTAURANTS: PANERA BREAD #606200 O 855-372-6,,33.83
cc-2-125,2023-02-06,200101,EdwardJones MasterCard,FAST FOOD RESTAURANTS: CHICK-FIL-A #03901 ROGERS,,14.94
cc-2-126,2023-02-06,200101,EdwardJones MasterCard,GROCERY STORES OR SUPERMARKETS: WM SUPERCENTER #5837 479-254-1,,11.8
cc-2-127,2023-02-06,200101,EdwardJones MasterCard,GROCERY STORES OR SUPERMARKETS: WAL-MART #5837 ROGERS,,126.47
cc-2-128,2023-02-06,600503,Grocery,GROCERY STORES OR SUPERMARKETS: WM SUPERCENTER #5837 479-254-1,11.8,
cc-2-129,2023-02-06,600503,Grocery,GROCERY STORES OR SUPERMARKETS: WAL-MART #5837 ROGERS,126.47,
cc-2-130,2023-02-06,200101,EdwardJones MasterCard,FAST FOOD RESTAURANTS: AMK WALMART J STREET BENTONVIL,,1.92
cc-2-131,2023-02-06,600501,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: PANERA BREAD #606200 O 855-372-6,33.83,
cc-2-132,2023-02-06,600501,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: CHIPOTLE ONLINE 949524400,22.85,
cc-2-133,2023-02-06,600501,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: CHICK-FIL-A #03901 ROGERS,14.94,
cc-2-134,2023-02-06,600501,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: AMK WALMART J STREET BENTONVIL,1.92,
cc-2-135,2023-02-06,600501,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: AMK WALMART J STREET 831-20198,5.79,
cc-2-136,2023-02-06,600301,Utilities,"ELECTRIC, GAS, SANITARY, TELEPHONE OR WATER UTILITIES: MDC*CARROLL ECC AR BERRYVILL",95.98,
cc-2-137,2023-02-08,200101,EdwardJones MasterCard,FAST FOOD RESTAURANTS: AMK WALMART J STREET BENTONVIL,,1.92
cc-2-138,2023-02-08,600601,"Hobbies - hobby, toy or games stores",MISCELLANEOUS & SPECIALTY STORES: TCGPLAYER.COM 315501047,7.87,
cc-2-139,2023-02-08,600501,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: AMK WALMART J STREET BENTONVIL,1.92,
cc-2-140,2023-02-08,200101,EdwardJones MasterCard,FAST FOOD RESTAURANTS: AMK WALMART J STREET BENTONVIL,,5.79
cc-2-141,2023-02-08,200101,EdwardJones MasterCard,FAST FOOD RESTAURANTS: CHICK-FIL-A #03901 ROGERS,,10.76
cc-2-142,2023-02-08,200101,EdwardJones MasterCard,MISCELLANEOUS & SPECIALTY STORES: TCGPLAYER.COM 315501047,,7.87
cc-2-143,2023-02-08,600501,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: CHICK-FIL-A #03901 ROGERS,10.76,
cc-2-144,2023-02-08,600501,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: AMK WALMART J STREET BENTONVIL,5.79,
cc-2-145,2023-02-09,600201,Gas - AUTOMATED FUEL DISPENSERS,AUTOMATED FUEL DISPENSERS: WAL-MART #5837 ROGERS,36.06,
cc-2-146,2023-02-09,600501,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: AMK WALMART J STREET BENTONVIL,5.79,
cc-2-147,2023-02-09,200101,EdwardJones MasterCard,AUTOMATED FUEL DISPENSERS: WAL-MART #5837 ROGERS,,36.06
cc-2-148,2023-02-09,200101,EdwardJones MasterCard,FAST FOOD RESTAURANTS: CHICK-FIL-A #03901 ROGERS,,7.76
cc-2-149,2023-02-09,600501,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: CHICK-FIL-A #03901 ROGERS,7.76,
cc-2-150,2023-02-09,200101,EdwardJones MasterCard,FAST FOOD RESTAURANTS: AMK WALMART J STREET BENTONVIL,,5.79
