Transaction_ID,Date,GL_Code,Account,Description,DEBIT,CREDIT
creditcard-2-184,2023-02-15,200101.0,EdwardJones MasterCard,FAST FOOD RESTAURANTS: AMK WALMART J STREET 831-20198,,9.84
creditcard-2-185,2023-02-15,600503.0,Grocery,GROCERY STORES OR SUPERMARKETS: WM SUPERCENTER #1 479-636-3,41.51,
creditcard-2-186,2023-02-15,200101.0,EdwardJones MasterCard,GROCERY STORES OR SUPERMARKETS: WM SUPERCENTER #1 479-636-3,,41.51
creditcard-2-187,2023-02-16,600501.0,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: AMK WALMART J STREET BENTONVIL,5.79,
creditcard-2-188,2023-02-16,200101.0,EdwardJones MasterCard,FAST FOOD RESTAURANTS: AMK WALMART J STREET BENTONVIL,,5.79
creditcard-2-189,2023-02-16,600601.0,"Hobbies - hobby, toy or games stores","HOBBY, TOY OR GAMES STORES: GAMEXCHANGE ROGERS ROGERS",7.64,
creditcard-2-190,2023-02-16,200101.0,EdwardJones MasterCard,"HOBBY, TOY OR GAMES STORES: GAMEXCHANGE ROGERS ROGERS",,7.64
creditcard-2-191,2023-02-16,200101.0,EdwardJones MasterCard,MISCELLANEOUS & SPECIALTY STORES: TCGPLAYER.COM 315501047,6.5,
creditcard-2-192,2023-02-16,600601.0,"Hobbies - hobby, toy or games stores",MISCELLANEOUS & SPECIALTY STORES: TCGPLAYER.COM 315501047,,6.5
creditcard-2-193,2023-02-16,200101.0,EdwardJones MasterCard,MISCELLANEOUS & SPECIALTY STORES: TCGPLAYER.COM 315501047,2.73,
creditcard-2-194,2023-02-16,600601.0,"Hobbies - hobby, toy or games stores",MISCELLANEOUS & SPECIALTY STORES: TCGPLAYER.COM 315501047,,2.73
creditcard-2-195,2023-02-16,600201.0,Gas - AUTOMATED FUEL DISPENSERS,AUTOMATED FUEL DISPENSERS: WAL-MART #5837 ROGERS,59.24,
creditcard-2-196,2023-02-16,200101.0,EdwardJones MasterCard,AUTOMATED FUEL DISPENSERS: WAL-MART #5837 ROGERS,,59.24
creditcard-2-197,2023-02-17,600601.0,"Hobbies - hobby, toy or games stores","HOBBY, TOY OR GAMES STORES: GAME X CHANGE - BENTON BENTONVIL",7.65,
creditcard-2-198,2023-02-17,200101.0,EdwardJones MasterCard,"HOBBY, TOY OR GAMES STORES: GAME X CHANGE - BENTON BENTONVIL",,7.65
creditcard-2-199,2023-02-17,600501.0,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: CHICK-FIL-A #03901 ROGERS,16.18,
creditcard-2-200,2023-02-17,200101.0,EdwardJones MasterCard,FAST FOOD RESTAURANTS: CHICK-FIL-A #03901 ROGERS,,16.18
creditcard-2-201,2023-02-17,600201.0,Gas - AUTOMATED FUEL DISPENSERS,AUTOMATED FUEL DISPENSERS: EZ MART 4308 FAYETTEVI,10.12,
creditcard-2-202,2023-02-17,200101.0,EdwardJones MasterCard,AUTOMATED FUEL DISPENSERS: EZ MART 4308 FAYETTEVI,,10.12
creditcard-2-203,2023-02-21,600501.0,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: PANDA EXPRESS #2171 P 800877898,12.15,
creditcard-2-204,2023-02-21,200101.0,EdwardJones MasterCard,FAST FOOD RESTAURANTS: PANDA EXPRESS #2171 P 800877898,,12.15
creditcard-2-205,2023-02-21,600502.0,Food - Restaurants,RESTAURANTS OR EATING PLACES: LOCAL LIME ROGERS ROGERS,33.0,
creditcard-2-206,2023-02-21,200101.0,EdwardJones MasterCard,RESTAURANTS OR EATING PLACES: LOCAL LIME ROGERS ROGERS,,33.0
creditcard-2-207,2023-02-21,600601.0,"Hobbies - hobby, toy or games stores","HOBBY, TOY OR GAMES STORES: GEAR GAMING BENTONVILL BENTONVIL",7.65,
creditcard-2-208,2023-02-21,200101.0,EdwardJones MasterCard,"HOBBY, TOY OR GAMES STORES: GEAR GAMING BENTONVILL BENTONVIL",,7.65
creditcard-2-209,2023-02-21,600501.0,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: CHICK-FIL-A #03901 ROGERS,10.94,
creditcard-2-210,2023-02-21,200101.0,EdwardJones MasterCard,FAST FOOD RESTAURANTS: CHICK-FIL-A #03901 ROGERS,,10.94
creditcard-2-211,2023-02-21,600601.0,"Hobbies - hobby, toy or games stores",MISCELLANEOUS & SPECIALTY STORES: TCGPLAYER.COM 315501047,11.0,
creditcard-2-212,2023-02-21,200101.0,EdwardJones MasterCard,MISCELLANEOUS & SPECIALTY STORES: TCGPLAYER.COM 315501047,,11.0
creditcard-2-213,2023-02-21,600501.0,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: AMK WALMART J STREET BENTONVIL,5.79,
creditcard-2-214,2023-02-21,200101.0,EdwardJones MasterCard,FAST FOOD RESTAURANTS: AMK WALMART J STREET BENTONVIL,,5.79
creditcard-2-215,2023-02-21,600601.0,"Hobbies - hobby, toy or games stores",MISCELLANEOUS & SPECIALTY STORES: TCGPLAYER.COM 315501047,62.12,
creditcard-2-216,2023-02-21,200101.0,EdwardJones MasterCard,MISCELLANEOUS & SPECIALTY STORES: TCGPLAYER.COM 315501047,,62.12
creditcard-2-217,2023-02-21,600601.0,"Hobbies - hobby, toy or games stores",MISCELLANEOUS & SPECIALTY STORES: TCGPLAYER.COM 315501047,14.12,
creditcard-2-218,2023-02-21,200101.0,EdwardJones MasterCard,MISCELLANEOUS & SPECIALTY STORES: TCGPLAYER.COM 315501047,,14.12
creditcard-2-219,2023-02-21,600502.0,Food - Restaurants,RESTAURANTS OR EATING PLACES: C.B. MUSEUM CULINARY BENTONVIL,17.79,
