MCC,Description
3229,SAETA - SOCIEDAD ECUATORIANOS DE TRANSPORTES AEREOS
3231,SAHSA - SERVICIO AERO DE HONDURAS
3233,CAPITOL AIR
3234,CARIBBEAN AIRLINES
3235,BROCKWAY AIR
3236,AIR ARABIA
3238,BEMIDJI AVIATION
3239,BAR HARBOR AIRLINES
3240,BAHAMASAIR
3241,AVIATECA (GUATEMALA)
3242,CARIBBEAN AIRLINES-CARIBBEAN
3243,AUSTRIAN AIR SERVICE
3245,EASYJET AIR
3246,RYANAIR
3247,GOL AIR
3248,TAM AIR
3251,ALOHA AIRLINES
3252,ALM
3253,AMERICA WEST
3254,U.S. AIR SHUTTLE
3256,ALASKA AIRLINES
3259,AMERICAN TRANS AIR
3260,SPIRIT AIRLINES
3261,AIR CHINA
3262,"RENO AIR, INC"
3263,AERO SERVICIO CARABOBO - ASERCA
3266,AIR SEYCHELLES
3267,AIR PANAMA
3268,AIR PACIFIC
3273,RICA HOTELS
3274,INTER NOR HOTELS
3275,AIR NEVADA
3276,AIR MIDWEST
3277,AIR MADAGASCAR
3279,AIR LA
3280,AIR JAMAICA
3281,AIR DJIBOUTI
3282,AIR DJIBOUTI
3284,AERO VIRGIN ISLANDS
3285,AEROPERU
3286,AEROLINEAS NICARAGUENSIS
3287,AERO COACH AVIATION
3291,ARIANA AFGHAN
3292,CYPRUS AIRWAYS
3293,ECUATORIANA
3294,ETHIOPIAN AIRLINES
3295,KENYA AIRWAYS
3296,AIR BERLIN
3297,TAROM
3298,AIR MAURITIUS
3299,WIDEROE'S FLYVESELSKAP
3351,AFFILIATED AUTO RENTAL
3352,AMERICAN INTERNATIONAL
3353,BROOKS RENT-A-CAR
3354,ACTION AUTO RENTAL
3355,SIXT CAR RENTAL
3357,HERTZ RENT-A-CAR
3359,PAYLESS CAR RENTAL
3360,SNAPPY CAR RENTAL
3361,AIRWAYS RENT-A-CAR
3362,ALTRA AUTO RENTAL
3364,AGENCY RENT-A-CAR
3366,BUDGET RENT-A-CAR
3368,HOLIDAY RENT-A-CAR
3370,RENT-A-WRECK
3374,ACCENT RENT-A-CAR
3376,AJAX RENT-A-CAR
3380,TRIANGLE RENT A CAR
3381,EUROP CAR
3385,TROPICAL RENT-A-CAR
3386,SHOWCASE RENTAL CARS
3387,ALAMO RENT-A-CAR
3388,MERCHANTS RENT-A-CAR
3389,AVIS RENT-A-CAR
3390,DOLLAR RENT-A-CAR
3391,EUROPE BY CAR
3393,NATIONAL CAR RENTAL
3394,KEMWELL GROUP RENT-A-CAR
3395,THRIFTY RENT-A-CAR
3396,TILDEN RENT-A-CAR
3398,ECONO-CAR RENT-A-CAR
3399,AMEREX RENT-A-CAR
3400,AUTO HOST CAR RENTALS
3405,ENTERPRISE RENT-A-CAR
3409,GENERAL RENT-A-CAR
3411,ATLANTA RENT-A-CAR
3412,A-1 RENT-A-CAR
3414,GODFREY NATL RENT-A-CAR
3419,APLHA RENT-A-CAR
3420,ANSA INTL RENT-A-CAR
3421,ALLSTATE RENT-A-CAR
3423,AVCAR RENT-A-CAR
3425,AUTOMATE RENT-A-CAR
3427,AVON RENT-A-CAR
3428,CAREY RENT-A-CAR
3429,INSURANCE RENT-A-CAR
3430,MAJOR RENT-A-CAR
3431,REPLACEMENT RENT-A-CAR
3432,RESERVE RENT-A-CAR
3433,UGLY DUCKLING RENT-A-CAR
3434,USA RENT-A-CAR
3435,VALUE RENT-A-CAR
3436,AUTOHANSA RENT-A-CAR
3437,CITE RENT-A-CAR
3438,INTERENT RENT-A-CAR
3439,MILLEVILLE RENT-A-CAR
3440,VIA ROUTE RENT-A-CAR
3441,ADVANTAGE RENT-A-CAR
3501,HOLIDAY INNS
3502,BEST WESTERN HOTELS
3503,SHERATON HOTELS
3504,HILTON HOTELS
3505,FORTE HOTELS
3506,GOLDEN TULIP HOTELS
3507,FRIENDSHIP INNS
3508,QUALITY INNS & QUALITY SUITES
3509,MARRIOTT HOTELS
3510,DAYS INNS OR DAYSTOP
3511,ARABELLA HOTELS
3512,INTER-CONTINENTAL HOTELS
3513,WESTIN HOTELS
3514,AMERISUITES
3515,RODEWAY INNS
3516,LA QUINTA MOTOR INNS
3517,AMERICANA HOTELS
3518,SOL HOTELS
3519,PULLMAN INTERNATIONAL HOTELS
3520,MERIDIEN HOTELS
3521,ROYAL LAHAINA RESORTS
3522,TOKYO HOTEL
3523,PENINSULA HOTEL
3524,WELCOMGROUP HOTELS
3525,DUNFEY HOTELS
3526,PRINCE HOTELS
3527,DOWNTOWNER-PASSPORT HOTEL
3528,RED LION HOTELS OR RED LION INNS
3529,CP HOTELS
3530,RENAISSANCE HOTELS
3531,KAUAI COCONUT BEACH RESORT
3532,ROYAL KONA RESORT
3533,HOTEL IBIS
3534,SOUTHERN PACIFIC HOTELS
3535,HILTON INTERNATIONAL
3536,AMFAC HOTELS
3537,ANA HOTEL
3538,CONCORDE HOTELS
3539,SUMMERFIELD SUITES HOTEL
3540,IBEROTEL HOTELS
3541,HOTEL OKURA
3542,ROYAL HOTELS
3543,FOUR SEASONS HOTELS
3544,CIGA HOTELS
