"Date","Description","ChkRef","Amount","Balance"
"02/01/2023","XX3178 POS PURCHASE YSI*Pinnacle Hei 479-2025252 AR 00001000 015442","","-$1,249.70","$12,636.76"
"02/02/2023","WAL-MART ASSOCS. PAYROLL XXXXXX3311","","$1,711.21","$14,347.97"
"02/03/2023","CARDMEMBER SERV WEB PYMT ***********9257","","-$1,934.06","$12,413.91"
"02/16/2023","WAL-MART ASSOCS. PAYROLL XXXXXX3311","","$1,711.23","$14,125.14"
"02/21/2023","XX3178 MT DDA DEBIT COINBASE https://www.f CA 00008277 033331","","-$20.00","$14,105.14"
"02/22/2023","XX3178 MT DDA DEBIT COINBASE https://www.f CA 00008277 000314","","-$20.00","$14,085.14"
